Product Name,Model,SKU,Category,Brands,Price (Special Price),Quantity,Total,Points,Weight,Store,Status
Colored Contrast Lusiana Outfit,BP1106,,Womens &gt; Dress,Beyond Pink,2900.0000,36,104400,0,0.00000000,Default,Enabled
,Size/L,,,,+0.0000,10,29000,+0,+0.00000000,Default,
,Size/M,,,,+0.0000,8,23200,+0,+0.00000000,Default,
,Size/S,,,,+0.0000,8,23200,+0,+0.00000000,Default,
,Size/XL,,,,+0.0000,10,29000,+0,+0.00000000,Default,
Colored Contrast Skinny Pant,BP7003,,"Bottom,Bottom &gt; Pant",Beyond Pink,1900.0000,38,72200,0,0.00000000,Default,Enabled
,Size/L,,,,+0.0000,10,19000,+0,+0.00000000,Default,
,Size/M,,,,+0.0000,10,19000,+0,+0.00000000,Default,
,Size/S,,,,+0.0000,8,15200,+0,+0.00000000,Default,
,Size/XL,,,,+0.0000,10,19000,+0,+0.00000000,Default,
Contrast Color Elma Dress,BP1074,,Womens &gt; Dress,Beyond Pink,1649.0000,37,61013,0,0.00000000,Default,Enabled
,Size/L,,,,+0.0000,9,14841,+0,+0.00000000,Default,
,Size/M,,,,+0.0000,9,14841,+0,+0.00000000,Default,
,Size/S,,,,+0.0000,9,14841,+0,+0.00000000,Default,
,Size/XL,,,,+0.0000,10,16490,+0,+0.00000000,Default,
Contrast Color Hem Dress,BP1118,,Womens &gt; Dress,Beyond Pink,2650.0000,50,132500,0,0.00000000,Default,Enabled
,Size/L,,,,+0.0000,10,26500,+0,+0.00000000,Default,
,Size/M,,,,+0.0000,10,26500,+0,+0.00000000,Default,
,Size/S,,,,+0.0000,10,26500,+0,+0.00000000,Default,
,Size/XL,,,,+0.0000,10,26500,+0,+0.00000000,Default,
,Size/XS,,,,+0.0000,10,26500,+0,+0.00000000,Default,
Contrast Colored Blazer,BP6003,,"Winter Wear,Winter Wear &gt; Jacket",Beyond Pink,2650.0000,41,108650,0,0.00000000,Default,Enabled
,Size/L,,,,+0.0000,6,15900,+0,+0.00000000,Default,
,Size/M,,,,+0.0000,9,23850,+0,+0.00000000,Default,
,Size/S,,,,+0.0000,9,23850,+0,+0.00000000,Default,
,Size/XL,,,,+0.0000,8,21200,+0,+0.00000000,Default,
,Size/XXL,,,,+0.0000,9,23850,+0,+27.00000000,Default,
Contrast Colored Ohio Outfit,BP1112,,Womens &gt; Dress,Beyond Pink,2150.0000,38,81700,0,0.00000000,Default,Enabled
,Size/L,,,,+0.0000,9,19350,+0,+0.00000000,Default,
,Size/M,,,,+0.0000,10,21500,+0,+0.00000000,Default,
,Size/S,,,,+0.0000,9,19350,+0,+0.00000000,Default,
,Size/XL,,,,+0.0000,10,21500,+0,+0.00000000,Default,
Crochet Dress,BP1013,,"Womens,Womens &gt; Dress",Beyond Pink,1590.0000,44,69960,0,0.00000000,Default,Enabled
,Size/L,,,,+0.0000,9,14310,+0,+0.00000000,Default,
,Size/M,,,,+0.0000,8,12720,+0,+0.00000000,Default,
,Size/S,,,,+0.0000,9,14310,+0,+0.00000000,Default,
,Size/XL,,,,+0.0000,9,14310,+0,+0.00000000,Default,
,Size/XXL,,,,+0.0000,9,14310,+0,+2.00000000,Default,
Dark Red Waffle Sweater With Zipper,BP2002,,"Winter Wear,Winter Wear &gt; Sweater",Beyond Pink,1650.0000,45,74250,0,0.00000000,Default,Enabled
,Size/L,,,,+0.0000,9,14850,+0,+0.00000000,Default,
,Size/M,,,,+0.0000,9,14850,+0,+0.00000000,Default,
,Size/S,,,,+0.0000,9,14850,+0,+0.00000000,Default,
,Size/XL,,,,+0.0000,9,14850,+0,+0.00000000,Default,
,Size/XXL,,,,+0.0000,9,14850,+0,+10.00000000,Default,
Donuts,BP9006,,Bellerinas,Beyond Pink,799.0000,50,39950,0,0.00000000,Default,Enabled
,Size/4,,,,+0.0000,10,7990,+0,+0.00000000,Default,
